payload_x,payload_y,payload_orientation,velocity_x,velocity_y,gbp_duration_us
-49.8442,2.78537e-05,-0.00719827,1.56806,0,7903
-49.3471,-0.00682728,-0.00910052,4.98022,-0.0691517,4530
-48.733,-0.0152838,-0.00628843,6.14945,-0.0852219,7913
-48.0146,-0.0249125,0.00125187,7.19201,-0.0975055,6979
-47.2039,-0.0356605,0.0126107,8.11681,-0.110277,4217
-46.312,-0.0478884,0.0255777,8.92981,-0.127624,5668
-45.3493,-0.0617624,0.0372058,9.64031,-0.146978,5839
-44.3247,-0.0767565,0.0454453,10.2612,-0.160362,4704
-43.2458,-0.0922178,0.0509508,10.8028,-0.16584,6872
-42.1198,-0.108062,0.0568377,11.2729,-0.169996,6903
-40.9531,-0.124434,0.0656592,11.6802,-0.176853,5641
-39.7519,-0.141337,0.0766207,12.0277,-0.185085,5465
-38.5221,-0.158523,0.086859,12.3154,-0.190273,4855
-37.2687,-0.175643,0.0955186,12.5507,-0.190508,5093
-35.9959,-0.192746,0.104613,12.7447,-0.191246,5351
-34.7076,-0.209942,0.115217,12.9015,-0.194259,5323
-33.4079,-0.227013,0.125781,13.018,-0.194906,4278
-32.1001,-0.24372,0.135521,13.0983,-0.192112,4615
-30.787,-0.260157,0.145696,13.1521,-0.190524,4709
-29.4712,-0.276328,0.156461,13.1799,-0.189481,4525
-28.1556,-0.292011,0.166784,13.1799,-0.18557,5831
-26.8421,-0.307196,0.177045,13.1588,-0.181371,4557
-25.5326,-0.321939,0.1877,13.1202,-0.17809,4445
-24.229,-0.336091,0.198115,13.0615,-0.172955,5509
-22.9329,-0.349638,0.208438,12.9874,-0.167493,4342
-21.6456,-0.362612,0.218939,12.9007,-0.162547,4933
-20.3685,-0.374916,0.229221,12.7997,-0.156322,5010
-19.1026,-0.386568,0.239476,12.6884,-0.150224,4834
-17.8489,-0.397564,0.249731,12.5676,-0.144117,5639
-16.6082,-0.407857,0.259796,12.4372,-0.137313,4989
-15.3814,-0.41748,0.269856,12.3003,-0.130864,5455
-14.169,-0.426406,0.279779,12.1561,-0.124036,6620
-12.9716,-0.434642,0.289592,12.0064,-0.117194,5029
-11.7898,-0.4422,0.299325,11.8521,-0.110446,5290
-10.6239,-0.449071,0.308899,11.6933,-0.103495,5691
-9.47421,-0.45528,0.318391,11.5314,-0.0967858,7244
-8.34111,-0.460825,0.327726,11.3664,-0.0899588,6435
-7.22477,-0.465727,0.336951,11.1993,-0.0833276,4343
-6.12538,-0.469997,0.346032,11.0303,-0.076722,4343
-5.04307,-0.473651,0.354981,10.86,-0.0702624,4645
-3.97791,-0.476709,0.363793,10.6888,-0.0639314,4505
-2.92997,-0.479185,0.372461,10.517,-0.0577297,4332
-1.89925,-0.481102,0.380993,10.3451,-0.0517003,5712
-0.885754,-0.482476,0.389377,10.1733,-0.0458135,4228
0.110574,-0.483331,0.397625,10.0018,-0.0401252,4211
1.08979,-0.483685,0.405723,9.83097,-0.0345912,5064
2.05199,-0.48356,0.413683,9.66102,-0.0292601,4193
2.99727,-0.482975,0.421495,9.49203,-0.0240946,4002
3.92577,-0.481955,0.429169,9.32432,-0.0191401,4887
4.83761,-0.480516,0.436696,9.15793,-0.014358,4268
5.73296,-0.478682,0.444085,8.99309,-0.00978216,4513
6.61198,-0.476473,0.451331,8.82985,-0.00538547,4427
7.47485,-0.473908,0.458441,8.66837,-0.00118645,4589
8.32174,-0.471008,0.465409,8.5087,0.00282963,5072
9.15287,-0.467792,0.472243,8.35096,0.00665989,4455
9.96841,-0.464278,0.478941,8.19518,0.0103052,4480
10.7686,-0.460487,0.485506,8.04146,0.0137697,5252
11.5536,-0.456434,0.491937,7.88981,0.0170629,6192
12.3237,-0.452139,0.49824,7.74032,0.0201778,4736
13.0791,-0.447618,0.504413,7.59297,0.0231302,4550
13.8199,-0.442887,0.510461,7.44783,0.025916,5173
14.5465,-0.437962,0.516384,7.30489,0.0285499,4550
15.259,-0.432858,0.522184,7.16419,0.0310238,4541
15.9577,-0.42759,0.527864,7.02572,0.0333474,4295
16.6428,-0.422172,0.533424,6.8895,0.0355296,4344
17.3145,-0.416619,0.538869,6.75553,0.0375711,5660
17.9731,-0.410941,0.544199,6.62378,0.0394796,5099
18.6187,-0.405153,0.549416,6.49428,0.0412575,4554
19.2517,-0.399266,0.554524,6.36701,0.0429103,5426
19.8722,-0.393291,0.559522,6.24194,0.0444414,4532
20.4804,-0.38724,0.564415,6.11908,0.0458612,6503
21.0765,-0.381122,0.569203,5.99839,0.0471695,6004
21.6609,-0.374946,0.573888,5.87986,0.0483717,5167
22.2336,-0.368724,0.578474,5.76349,0.0494694,5173
22.7949,-0.362463,0.582961,5.64922,0.0504702,6546
23.3451,-0.356172,0.587352,5.53706,0.0513822,4977
23.8843,-0.349859,0.591649,5.42698,0.0522038,4367
24.4127,-0.343531,0.595853,5.31892,0.0529428,4245
24.9305,-0.337195,0.599967,5.21291,0.0535975,5142
25.438,-0.330859,0.603992,5.10887,0.0541758,4300
25.9353,-0.324528,0.60793,5.00681,0.0546831,4608
26.4226,-0.318208,0.611783,4.90668,0.0551201,4920
26.9001,-0.311905,0.615554,4.80847,0.0554915,4886
27.3681,-0.305624,0.619243,4.71213,0.0558002,4678
27.8266,-0.299371,0.622851,4.61764,0.0560457,4634
28.2759,-0.293149,0.626383,4.52498,0.056238,4606
28.7162,-0.286963,0.629838,4.43411,0.0563766,11624
29.1475,-0.280818,0.633218,4.345,0.0564639,14412
29.5702,-0.274716,0.636525,4.25763,0.0565041,9870
29.9844,-0.268662,0.639761,4.17197,0.0564979,10344
30.3902,-0.262659,0.642927,4.08798,0.0564493,9229
30.7877,-0.256708,0.646024,4.00563,0.056362,11133
31.1773,-0.250815,0.649055,3.92491,0.0562354,11605
31.559,-0.24498,0.65202,3.84577,0.0560723,10704
31.9329,-0.239207,0.654921,3.7682,0.0558757,11636
32.2993,-0.233497,0.65776,3.69216,0.0556487,11434
32.6583,-0.227852,0.660537,3.61762,0.0553926,11168
33.01,-0.222275,0.663255,3.54457,0.0551087,12239
33.3546,-0.216766,0.665914,3.47296,0.0547993,13687
33.6922,-0.211328,0.668516,3.40278,0.0544634,14898
34.023,-0.205961,0.671062,3.33399,0.054106,9959
34.347,-0.200667,0.673553,3.26657,0.0537289,10590
34.6645,-0.195447,0.675991,3.20051,0.0533307,11789
34.9755,-0.190302,0.678376,3.13575,0.0529126,12547
35.2803,-0.185232,0.68071,3.0723,0.0524806,13184
35.5788,-0.180238,0.682994,3.01011,0.0520323,9813
35.8713,-0.175322,0.685229,2.94917,0.051567,11588
36.1579,-0.170482,0.687416,2.88945,0.0510924,12192
36.4386,-0.16572,0.689557,2.83094,0.0506039,9716
36.7137,-0.161036,0.691652,2.77359,0.0501029,10133
36.9831,-0.15643,0.693701,2.71739,0.0495935,18200
37.2471,-0.151902,0.695707,2.66233,0.0490734,10374
37.5057,-0.147452,0.697671,2.60837,0.048547,10136
37.7591,-0.143081,0.699593,2.5555,0.0480121,11727
38.0073,-0.138787,0.701473,2.50369,0.0474717,10157
38.2505,-0.134571,0.703313,2.45293,0.0469231,10348
38.4887,-0.130434,0.705114,2.40319,0.0463705,11740
38.7221,-0.126373,0.706878,2.35445,0.0458164,10827
38.9507,-0.12239,0.708603,2.30669,0.0452541,11827
39.1747,-0.118483,0.710292,2.2599,0.0446896,11281
39.3942,-0.114652,0.711945,2.21405,0.0441251,9938
39.6092,-0.110897,0.713563,2.16913,0.0435565,9726
39.8198,-0.107218,0.715147,2.12512,0.0429866,11324
40.0261,-0.103613,0.716697,2.08199,0.0424156,15835
40.2282,-0.100082,0.718215,2.03974,0.0418434,10560
40.4262,-0.0966255,0.7197,1.99834,0.0412695,10815
40.6202,-0.0932417,0.721153,1.95777,0.0406961,10058
40.8103,-0.0899301,0.722576,1.91803,0.040126,10050
40.9965,-0.0866899,0.72397,1.87909,0.0395572,13792
41.1788,-0.0835209,0.725334,1.84094,0.0389863,11966
41.3575,-0.0804221,0.726669,1.80356,0.0384178,9356
41.5326,-0.0773929,0.727975,1.76694,0.0378523,13842
41.704,-0.0744323,0.729255,1.73106,0.0372894,9487
41.872,-0.0715397,0.730508,1.6959,0.0367277,11116
42.0366,-0.0687143,0.731735,1.66146,0.0361697,10875
42.1978,-0.0659553,0.732935,1.62771,0.0356135,14267
42.3558,-0.063262,0.73411,1.59465,0.0350611,11785
42.5105,-0.0606334,0.735261,1.56226,0.0345113,14088
42.6621,-0.0580689,0.736387,1.53052,0.0339652,12611
42.8106,-0.0555676,0.73749,1.49943,0.0334226,11760
42.956,-0.0531286,0.73857,1.46897,0.032884,13279
43.0985,-0.050751,0.739628,1.43912,0.0323487,10712
43.2381,-0.0484343,0.740663,1.40988,0.0318165,9902
43.3749,-0.0461775,0.741677,1.38124,0.0312885,17120
43.5089,-0.0439797,0.742669,1.35317,0.0307665,11047
43.6401,-0.0418402,0.743641,1.32567,0.0302479,10420
43.7687,-0.0397579,0.744592,1.29874,0.029734,18268
43.8946,-0.0377322,0.745524,1.27234,0.0292244,14129
44.018,-0.0357623,0.746436,1.24649,0.0287186,12097
44.1389,-0.0338472,0.74733,1.22116,0.0282175,12332
44.2573,-0.0319863,0.748204,1.19634,0.0277215,10999
44.3733,-0.0301786,0.74906,1.17202,0.0272293,10601
44.4869,-0.0284233,0.749899,1.1482,0.0267431,13017
44.5982,-0.0267196,0.75072,1.12487,0.026261,9739
44.7073,-0.0250667,0.751525,1.102,0.0257837,9306
44.8141,-0.0234638,0.752313,1.0796,0.0253109,15032
44.9187,-0.0219102,0.753084,1.05766,0.0248439,9521
45.0212,-0.0204049,0.753839,1.03616,0.0243822,12325
45.1217,-0.0189472,0.754578,1.0151,0.0239243,13379
45.22,-0.0175363,0.755302,0.994468,0.0234714,11592
45.3164,-0.0161715,0.756012,0.974254,0.0230234,11510
45.4108,-0.0148519,0.756706,0.954452,0.0225806,11843
45.5033,-0.0135769,0.757387,0.935051,0.0221425,13059
45.5939,-0.0123457,0.758053,0.916045,0.0217093,11001
45.6826,-0.0111574,0.758706,0.897425,0.0212823,9313
45.7695,-0.0100114,0.759345,0.879185,0.0208594,8960
45.8547,-0.00890711,0.759971,0.861314,0.02044,10258
45.9381,-0.00784351,0.760583,0.843807,0.0200277,10838
46.0198,-0.00682006,0.761183,0.826657,0.019619,11449
46.0999,-0.00583591,0.761771,0.809856,0.0192157,10145
46.1783,-0.00489045,0.762347,0.793396,0.0188165,10726
46.2551,-0.0039831,0.762911,0.777272,0.0184218,-1.49577e+06
46.3304,-0.00311301,0.763463,0.761475,0.0180332,10547
46.4041,-0.00227957,0.764004,0.746001,0.0176483,10147
46.4763,-0.00148218,0.764534,0.73084,0.0172677,12211
46.547,-0.000720117,0.765053,0.71599,0.0168918,10250
46.6163,7.2532e-06,0.765561,0.701441,0.0165213,10362
46.6842,0.000700664,0.766058,0.687189,0.016155,16822
46.7507,0.00136065,0.766546,0.673227,0.0157938,9277
46.8158,0.00198784,0.767023,0.659549,0.0154365,10481
46.8796,0.00258287,0.767491,0.646151,0.0150839,11229
46.9421,0.00314632,0.767949,0.633027,0.0147353,8405
47.0033,0.00367882,0.768398,0.620169,0.0143923,14609
47.0633,0.00418101,0.768837,0.607573,0.0140535,12206
47.1221,0.00465347,0.769268,0.595235,0.0137194,10605
47.1796,0.00509666,0.769689,0.583148,0.013389,11304
47.236,0.00551125,0.770102,0.571308,0.013063,10748
47.2912,0.00589779,0.770506,0.559709,0.0127415,9210
47.3453,0.00625687,0.770903,0.548348,0.0124235,10888
47.3983,0.00658886,0.771291,0.537217,0.01211,14612
47.4502,0.00689436,0.771671,0.526315,0.0118007,11163
47.501,0.00717394,0.772044,0.515635,0.0114947,11560
47.5508,0.00742818,0.772408,0.505174,0.0111934,9453
47.5996,0.00765752,0.772766,0.494926,0.0108968,10309
47.6474,0.00786246,0.773116,0.484888,0.0106034,11880
47.6942,0.00804345,0.773458,0.475055,0.0103137,12997
47.74,0.00820094,0.773794,0.465423,0.0100276,10351
47.785,0.0083356,0.774123,0.455988,0.0097454,9696
47.829,0.00844772,0.774445,0.446747,0.009467,15464
47.872,0.00853781,0.774761,0.437694,0.00919273,129371
